role,group,variable,ahies_code,module,status,value_type,notes
hh_size,B5,hh_size,(derived: rows per hh_key per quarter),Roster,DERIVED,int,Count of roster rows sharing the same (year x quarter x cluster x HholdID).
hh_children_u15,B5,hh_children_u15,(derived from age within hh-quarter),Roster,DERIVED,int,Count of household members aged <15 in the same year x quarter x household.
hh_other_earners,B5,hh_other_earners,(derived from labour_status4 within hh-quarter),Roster,DERIVED,int,Count of OTHER household members (excluding self) classified formally/informally employed in the same year x quarter x household.
econact,B2,econact,econact,Labour (derived by GSS),CONFIRMED,str,"GSS-derived ILO activity status: 'Employed' / 'Unemployed' / 'Not active'. 0% missing for working-age (15+) rows in every quarter checked (2022) -- this is the Gate 1 evidence."
worked_flag,B2,worked,worked,Labour (derived by GSS),CONFIRMED,float,GSS-derived 0/1 flag for having done any work in the reference period. Cross-check against econact.
status_in_job,B3,status_in_job,s4aq46,Labour (S4A - main job),CONFIRMED,str,"ICSE-like status in main job (12 categories: paid employee, casual worker, paid/unpaid apprentice, agric/non-agric self-employed with/without employees, agric/non-agric contributing family worker, domestic worker, other). 0% missing among econact=='Employed' in 2022 -- this is the core Gate 3 item."
institutional_sector,B3,inst_sector,s4aq42,Labour (S4A - main job),CONFIRMED,str,"9-category institutional sector of the main job (Public/Semi-public/Private Formal/Private Informal/Local NGO/Intl NGO/Religious local/Religious intl/International org). 0% missing among the employed (main job) in 2022, including the self-employed -- this is what makes an enterprise-based informality route usable even where contract/SSNIT are skip-patterned to employees only."
has_contract,B3,has_contract,s4aq47,Labour (S4A - main job),CONFIRMED,str,"'Yes, written' / 'Yes, verbal/oral' / 'No'. Universe = paid employee or casual worker (per s4aq46) ONLY -- ~99.3% non-missing within that universe in 2022, ~99.4% missing outside it. This is a GSS skip pattern, not a data-quality problem; do not treat non-employee missingness as informal by default without checking status_in_job first (the construction rule in scripts/construct.py handles this)."
social_security_entitled,B3,soc_sec_entitled,s4aq51,Labour (S4A - main job),CONFIRMED,str,"Yes/No, entitled to any social security benefit in main job. Same employee-only skip pattern as has_contract."
ssnit_scheme,B3,ssnit_flag,s4aq52c,Labour (S4A - main job),CONFIRMED,str,"Yes/No SSNIT enrolment specifically. Populated only for the subset who answered Yes to social_security_entitled AND itemised SSNIT among benefit types -- ~92% missing even within paid employees in 2022. Too thin to use as the primary informality criterion on its own; used only as a supporting/robustness item, not the headline rule (see docs/codebook.md, Gate 3)."
payment_amount,B4,earn_amount,s4aq55a,Labour (S4A - main job),CONFIRMED,float,"Cash payment amount for the main job, last pay period. Universe = paid employee/casual worker; ~80% missing among ALL employed in 2022 because only ~20% of the employed are wage employees -- expected, not a defect. Gate 5 verdict: usable only as a wage-subsample robustness variable, not a general covariate (matches the spec's own caution)."
payment_time_unit,B4,earn_time_unit,s4aq55b,Labour (S4A - main job),CONFIRMED,str,Pay period unit (daily/weekly/monthly/etc.) for payment_amount.
actual_hours,B4,actual_hours,s4cq1,Labour (S4C - hours summary),CONFIRMED,float,Total hours of work across all economic activities in the past 7 days -- the general actual-hours item (not job-specific).
available_more_hours,B4,avail_more_hours,s4cq3,Labour (S4C - underemployment),CONFIRMED,str,Available for additional hours of work in the past 7 days -- feeds time-related underemployment.
